target_hub,total_feeder_routes,total_population_served,avg_feeder_distance,estimated_daily_ridership
Baba Dogo,6,1462404.723922,5.050351254824234,219360.7085883
City Park Market,1,18526.322618,10.260571373513157,2778.9483926999997
Eastleigh,3,550617.382387,2.9432182325878595,82592.60735805
Embakasi,2,194496.78414,4.4537127465887405,29174.517621
Gigiri,8,1199021.196973,8.027378877310037,179853.17954595
Gikomba,1,179605.87017,0.5802033556731034,26940.8805255
Industrial Area,7,814237.248879,6.458403285346061,122135.58733185
Karen,1,9339.255624,6.329932319959607,1400.8883435999999
Kariobangi,7,609054.053406,4.5568964792587225,91358.1080109
Kilimani,1,30731.100712,1.799841078763971,4609.6651068
Lavington,4,160217.136738,5.268670470100059,24032.5705107
Muthurwa,2,1448.8322859999998,3.694966098276865,217.32484289999996
Nairobi Central,4,163782.59174,3.27897206226117,24567.388761
Nyamakima,1,32985.870624,1.4273497907099293,4947.8805936
Parklands,3,184778.586108,2.926688862617372,27716.7879162
Riverside,7,770172.24172,7.967123375874924,115525.83625800001
Toi Market,4,701351.367728,7.294522769240238,105202.7051592
Upper Hill,2,186655.65552499998,6.253120935136508,27998.348328749995
Westlands,6,97173.729975,3.218701271546232,14576.059496249998
